Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
527,Lonnie Walker IV,SG,25,BRK,58,0,1011,7.4,17.5,.423,3.7,9.6,.384,3.7,7.9,.471,1.6,2.1,.763,0.5,4.1,4.5,2.6,1.1,0.7,1.8,2.5,20.1,walkelo01
528,Cason Wallace,SG,20,OKC,82,13,1692,4.6,9.4,.491,2.1,5.0,.419,2.5,4.4,.572,0.6,0.8,.784,1.1,2.9,4.0,2.6,1.6,0.8,1.0,2.7,11.9,wallaca01
529,Jordan Walsh,SF,19,BOS,9,1,83,2.6,6.5,.400,0.9,3.9,.222,1.7,2.6,.667,0.4,0.9,.500,2.2,6.5,8.7,2.2,2.2,0.4,1.3,4.8,6.5,walshjo01
530,T.J. Warren,SF,30,MIN,11,0,125,5.2,11.8,.439,0.6,3.7,.154,4.6,8.1,.571,0.9,1.2,.750,1.4,4.9,6.3,2.6,1.2,0.3,1.2,3.2,11.8,warretj01
531,P.J. Washington,PF,25,TOT,73,45,2221,5.7,13.1,.436,2.1,6.7,.320,3.6,6.5,.558,1.6,2.4,.683,1.4,5.3,6.7,2.3,1.2,1.0,1.6,2.7,15.2,washipj01
532,TyTy Washington Jr.,PG,22,MIL,11,0,56,3.9,12.9,.300,1.3,3.9,.333,2.6,9.0,.286,0.0,0.0,,0.6,2.6,3.2,3.2,1.9,0.0,1.3,0.6,9.0,washity02
533,Yuta Watanabe,SF,29,TOT,34,0,464,3.2,9.0,.353,1.9,6.6,.294,1.2,2.4,.516,0.8,1.3,.588,0.9,3.3,4.2,1.2,0.9,0.5,1.5,3.0,9.1,watanyu01
534,Lindy Waters III,SG,26,OKC,38,0,280,6.3,13.4,.471,4.8,10.9,.435,1.5,2.4,.632,0.3,0.3,1.000,0.9,4.2,5.1,3.1,0.6,0.9,0.9,3.0,17.6,waterli01
535,Trendon Watford,PF,23,BRK,63,2,856,6.9,13.1,.527,1.1,2.9,.397,5.8,10.2,.564,3.2,4.1,.794,2.2,6.0,8.2,3.4,1.0,0.8,2.6,4.5,18.2,watfotr01
536,Peyton Watson,SF,21,DEN,80,4,1488,5.0,10.8,.465,1.1,3.7,.296,3.9,7.1,.553,1.7,2.6,.670,1.4,4.9,6.2,2.1,1.0,2.1,1.4,3.5,12.9,watsope01
537,Victor Wembanyama,C,20,SAS,71,71,2106,9.4,20.3,.465,2.2,6.7,.325,7.2,13.5,.534,5.0,6.3,.796,2.8,10.2,12.9,4.7,1.5,4.3,4.4,2.6,26.0,wembavi01
538,Blake Wesley,SG,20,SAS,61,3,876,4.2,8.8,.474,0.5,2.3,.218,3.7,6.6,.563,2.1,3.2,.667,0.7,3.1,3.9,6.8,1.2,0.4,2.3,3.7,11.0,weslebl01
539,Russell Westbrook,PG,35,LAC,68,11,1529,7.1,15.6,.454,1.0,3.6,.273,6.1,12.0,.509,2.6,3.8,.688,2.2,5.9,8.1,7.2,1.7,0.5,3.4,2.8,17.8,westbru01
540,Coby White,PG,23,CHI,79,78,2881,6.8,15.1,.447,2.6,6.9,.376,4.1,8.2,.508,2.7,3.2,.838,0.5,3.9,4.5,5.1,0.7,0.2,2.1,2.3,18.9,whiteco01
541,Derrick White,SG,29,BOS,73,73,2381,5.9,12.7,.461,3.0,7.5,.396,2.9,5.2,.555,2.1,2.3,.901,0.8,3.9,4.7,5.7,1.1,1.3,1.7,2.3,16.7,whitede01
542,Jack White,SF,26,MEM,4,0,64,1.1,9.0,.125,1.1,5.6,.200,0.0,3.4,.000,0.0,0.0,,2.3,4.5,6.8,0.6,2.3,0.6,1.1,1.7,3.4,whiteja03
543,Cam Whitmore,SF,19,HOU,47,2,880,8.7,19.1,.454,3.2,9.0,.359,5.4,10.1,.538,3.1,4.6,.679,1.8,5.6,7.4,1.4,1.2,0.7,1.9,2.6,23.7,whitmca01
544,Aaron Wiggins,SG,25,OKC,78,4,1228,6.2,11.1,.562,1.8,3.7,.492,4.4,7.4,.598,1.6,2.1,.789,1.8,3.7,5.5,2.5,1.6,0.6,1.6,2.7,15.9,wiggiaa01
545,Andrew Wiggins,SF,28,GSW,71,59,1920,6.6,14.6,.453,1.7,4.8,.358,4.9,9.9,.498,2.7,3.5,.751,2.0,4.0,6.0,2.2,0.8,0.8,1.6,2.8,17.6,wiggian01
546,Lindell Wigginton,PG,25,MIL,3,0,8,9.0,22.5,.400,0.0,9.0,.000,9.0,13.5,.667,9.0,9.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,27.0,wiggili01
547,Alondes Williams,SG,24,MIA,7,0,16,4.5,18.0,.250,0.0,9.0,.000,4.5,9.0,.500,2.3,2.3,1.000,0.0,2.3,2.3,0.0,0.0,2.3,4.5,4.5,11.3,willial06
548,Brandon Williams,PG,24,DAL,17,0,113,6.4,17.2,.370,1.0,4.8,.200,5.4,12.4,.436,3.5,5.4,.647,1.3,2.9,4.1,5.4,0.3,0.3,2.2,1.3,17.2,willibr03
